Gitarre | Musik,Instrument,Saiten,spielen,Konzert
Apfel | Obst,rot,Baum,essen,süß
Fußball | Sport,Ball,Tor,Mannschaft,kicken
Buch | lesen,Seiten,Autor,Geschichte,Bibliothek
Computer | elektronisch,Tastatur,Bildschirm,Internet,programmieren
Katze | Tier,miauen,Fell,Haustier,schnurren
Auto | fahren,Räder,Motor,Straße,Benzin
Telefon | anrufen,sprechen,klingeln,Nummer,Hörer
Stuhl | sitzen,Beine,Möbel,Tisch,Holz
Wasser | trinken,nass,fließen,Meer,H2O
Hund | Tier,bellen,Gassi,Schwanz,Welpe
Sonne | hell,warm,Himmel,scheinen,gelb
Baum | Ast,Blätter,Wurzel,Wald,grün
Haus | wohnen,Dach,Wände,Zuhause,Zimmer
Brot | backen,essen,Mehl,Scheibe,Bäcker
Schule | lernen,Lehrer,Schüler,Unterricht,Klassenraum
Blume | schön,Garten,blühen,Duft,Vase
Fahrrad | Rad,treten,Lenker,fahren,Pedale
Klavier | Tasten,Musik,spielen,schwarz,weiß
Regenschirm | Regen,Schutz,aufspannen,nass,Wetter
Zug | Bahn,Schienen,Bahnhof,fahren,Waggon
Flugzeug | fliegen,Himmel,Pilot,Flughafen,Wolken
Brille | sehen,Augen,Gläser,scharf,Optiker
Uhr | Zeit,ticken,Zeiger,Stunden,Minuten
Kaffee | trinken,heiß,braun,Bohnen,wach
Tisch | Platte,Beine,essen,Möbel,Holz
Bett | schlafen,Matratze,Kissen,müde,Decke
Küche | kochen,Herd,Töpfe,essen,Rezept
Fenster | Glas,durchsehen,öffnen,Licht,Rahmen
Tür | öffnen,schließen,Griff,Raum,Schlüssel
Handy | Smartphone,telefonieren,Display,mobil,App
Fernsehen | Bildschirm,Programme,schauen,Fernbedienung,Sender
Zeitung | lesen,Papier,Nachrichten,Artikel,täglich
Brief | schreiben,Post,Briefkasten,Umschlag,senden
Schuhe | Füße,laufen,Leder,Sohle,anziehen
Hose | Beine,anziehen,Stoff,lang,Gürtel
Hemd | Shirt,Arme,Knöpfe,tragen,Kragen
Jacke | warm,anziehen,Ärmel,Reißverschluss,Winter
Hut | Kopf,aufsetzen,Rand,Mode,bedecken
Handschuh | Hand,Winter,warm,Finger,Paar
Socken | Füße,Wolle,Paar,anziehen,Schuhe
Krawatte | Hals,binden,elegant,Anzug,Knoten
Gürtel | Hose,Taille,Loch,Schnalle,eng
Brücke | über,Wasser,Fluss,bauen,Verbindung
Turm | hoch,Stein,Aussicht,rund,Glocken
Berg | hoch,Gipfel,klettern,Schnee,Tal
See | Wasser,schwimmen,Ufer,ruhig,Fische
Fluss | fließen,Wasser,Ufer,Brücke,Strom
Wald | Bäume,grün,Tiere,wandern,Natur
Wiese | Gras,grün,Blumen,Kühe,Picknick
Strand | Sand,Meer,Urlaub,Sonne,Wellen
